User,Location,Text
Carlos33453,,"#ParoNacional29A
#ParoNacional28 #Paro1M
#ParoNacional30A #SOSColombia
#Colombia #Mexico #Latinoamerica #Ecuador… https://t.co/VSIR7zYIsH"
Carlos33453,,"#ParoNacional29A
#ParoNacional28 #Paro1M
#ParoNacional30A #SOSColombia
#Colombia #Mexico #Latinoamerica #Ecuador… https://t.co/yxjS3Kktsw"
Carlos33453,,"#ParoNacional29A
#ParoNacional28 #Paro1M
#ParoNacional30A #SOSColombia
#Colombia #Mexico #Latinoamerica #Ecuador… https://t.co/Vyf1yAeOlX"
baekcornio,c o l o m b i a ,"Los medios de comunicación (rcn, caracol, Teleantioquia,telemed)  mucho vándalos esto, vádalos lo otro pero nada qu… https://t.co/k00efK2O2v"
Carlos33453,,"#ParoNacional29A
#ParoNacional28 #Paro1M
#ParoNacional30A #SOSColombia
#Colombia #Mexico #Latinoamerica #Ecuador… https://t.co/74PPFCtk2l"
mdrgpz,"Bogotá, D.C., Colombia",Por eso citaron las marchas para las mismas fechas Señores @petrogustavo @GustavoBolivar @fecode @cutcolombia… https://t.co/31SPqPzlUu
LaColaDeRata,"Pereira, Colombia","¡Que no pare el paro! 
Este es el ambiente de #ParoNacional1M en el centro de Pereira, al ritmo de música y baile.… https://t.co/Mbqs5tOr19"
CarlosAndresMB,"Brooklyn, NY","Primaveras de la Resistencia en Colombia: movilización social por injusticia y desgobierno. 
#ColombiaResiste… https://t.co/p3bx2nIVvJ"
Carlos33453,,"#ParoNacional29A
#ParoNacional28 #Paro1M
#ParoNacional30A #SOSColombia
#Colombia #Mexico #Latinoamerica #Ecuador… https://t.co/HhIqvxZPXC"
ojozdgato,,"HOY LA PLAZA ES MI CASA!! A PARAR !! 

#ParoNacional28A 
#ParoNacional29A 
#ParoNacional30A 
#ParoNacional1Mayo… https://t.co/npQiShUse6"
Carlos33453,,"#ParoNacional29A
#ParoNacional28 #Paro1M
#ParoNacional30A #SOSColombia
#Colombia #Mexico #Latinoamerica #Ecuador… https://t.co/vQmuAP7p1I"
Brayan08Javier,"Bogotá, D.C., Colombia","@Cristianleonrt @Oscar_Fagua POR FIN VAMOS ALNORTE CARAJO 

O NOS ESCUCHAN O SE PRENDA LA HPTA. #ParoIndefinido… https://t.co/vtRT39wewM"
ValenciaGuille8,xiaobei,Dato: Terroristas urbanos le prendieron fuego a los uniformados del #Esmad en la ciudad de Pasto durante el… https://t.co/NdgWXUqHA1
tbsfearles,she¡her | buzzing ,"@MoratBanda PUEDEN DIFUNDIR PORFAVOR, LO ENVIARON EN EL GRUPO DE MI UNIVERSIDAD 🚨🚨🚨⚠️⚠️

#SigueElParo… https://t.co/3JfilDpPUD"
Davidcl70624277,"Bogotá, D.C., Colombia",NO QUEREMOS SUBSIDIOS QUEREMOS TRABAJOS DIGNOS Y BIEN REMUNERADO QUEREMOS EDUCACIÓN GRATUITA Y MENOS ARMAS… https://t.co/vmc1uRZeUt
Ten_piedad_,,"A ver, @juanes @maluma @shakira no los vemos? #ParoNacional1M #ParoIndefinido #EnColombiaNoHayPresidente… https://t.co/sgMO5cUUkW"
RadioTemblor,Panamá,"Colombia. Paro nacional: jaque mate al uribismo
#Colombia #NoALaReformaTributaria #ParoNacional29A #Noticias… https://t.co/DvMTpG64YI"
maryjogc,,"Pero @LuisErnestoGL! uso de armas no es para aplastar a población, sino para aplastar a vándalos terroristas, con l… https://t.co/N4n7qam9ro"
UscoEAEducativa,"Neiva, Colombia","He aquí los ""héroes de la patria""...
#ParoNacional #ParoNacional28A #ParoNacional29A
#ParoNacional30A… https://t.co/F4zTBhALOp"
Jech13320,"Bogotá, D.C., Colombia","He aquí los ""héroes de la patria""...
#ParoNacional #ParoNacional28A #ParoNacional29A
#ParoNacional30A… https://t.co/MJD4Zii3T6"
Jech13320,"Bogotá, D.C., Colombia","He aquí los ""héroes de la patria""...
#ParoNacional #ParoNacional28A #ParoNacional29A
#ParoNacional30A… https://t.co/DpNmOpqXnZ"
Jech13320,"Bogotá, D.C., Colombia","He aquí los ""héroes de la patria""...
#ParoNacional #ParoNacional28A #ParoNacional29A
#ParoNacional30A… https://t.co/yvwMABBIut"
Jech13320,"Bogotá, D.C., Colombia","He aquí los ""héroes de la patria""...
#ParoNacional #ParoNacional28A #ParoNacional29A
#ParoNacional30A… https://t.co/BTwmwQvloK"
Duberneyparra3,"Cali, Colombia",#ParoNacional1M #ParoNacional30A #ParoNacional29A #ParoNacional28A  esoo :3 #CaliResiste #CaliSeRespeta colombia un… https://t.co/5j6p4rQIKK
JuanPRamirezD,,Lo bueno de estas marchas es qué hay una depuración inteligente de la sociedad. #COVIDー19 #Colombia #ParoNacional… https://t.co/JeF2Hv3Zwn
bella_8686,,"Que esto nos sirva para el 2022 ni un voto para los corruptos, eso es la muerte.
Recordemos en las urnas esto y que… https://t.co/rW4Z2gDfpr"
DircomNoticias,Bogotá,Colombia amanece con imágenes de la jornada de paro nacional. #ParoNacional29A #ParoNacional28A #Paro30A #MARCHAS… https://t.co/rAnZIHJzI9
maryjogc,,"Yo creo que es el país, el que no está formado para un lujo de Presidente como @IvanDuque ¡Animo Presidente, muchos… https://t.co/j58gemUWg5"
EstebanCrdoba7,"Cali, Colombia",#univallepresente #Univalle #univalleresiste #ParoNacional28A #ParoNacional29A #ParoNacional30A #ParoNacional1Mayo… https://t.co/Se3STG0ZnU
maryjogc,,"Afrontamos la mayor estrategia de manipulación, cinismo y cizaña de todos los tiempos en Bogotá y Colombia: No olvi… https://t.co/b3Y6GRrI2S"
CristianUrcuqui,,Los moteros presente en este 1 de Mayo @AquinoTicias1 @UnivalleU #ParoNacional30A @petrogustavo @GustavoBolivar… https://t.co/IuSOwBJLZM
Canal1Colombia,Colombia,"La historia que no supiste de Teresa, la mujer que conmovió a Colombia en el #ParoNacional29A

https://t.co/mvCcNRY96t"
Duberneyparra3,"Cali, Colombia",#ParoNacional1M #ParoNacional30A #ParoNacional29A #ParoNacional28A @cutcolombia @fecode #NoALaReformaTributaria… https://t.co/LzJDUJSXU8
Cristin32510577,,@Angelarez19 #NoALaReformaTributaria #ParoNacional29A #NoALaReformaUribista #Paro29A  No están viendo jodi*** y nos… https://t.co/3AkDNyQffy
w13532944,"Cartagena, Colombia",@PoliciaMedellin @seguridadmed @region6policia @DirectorPolicia @PoliciaColombia @mindefensa @Diego_Molano… https://t.co/3N9vYaVKcX
Duberneyparra3,"Cali, Colombia",Opinen gente colombia digalen sus verdades !!! Canales manipuladores por el gobierno... @CanalRCN @CaracolTV  la ge… https://t.co/scm4DcX7Ui
