User,Location,Text,sentiment,probability
Pauliksm,,"Otro deseo cumplido, ver a Angelina Jolie formar parte del Universo Marvel #TheEternals #MarvelStudios #Fase4",Positivo,70
shawnbyflor,Multifandom| bookstan,Hola fase 4🤩 #MarvelStudios #Loki https://t.co/GhAqM7MxH9,Positivo,71
ElPochocleroOk,Buenos Aires City Region,#DoctorStrange iba a aparecer en #WandaVision pero finalmente decidieron que no fuera parte de la serie.… https://t.co/FSH5P8ySzi,Positivo,65
Dave_DSG,The North of Southamerica,"Reseña de #MarvelStudios Unidos: Creando #FalconYElSoldadoDeInvierno!
Capítulo especial ya disponible en… https://t.co/BLW3fAQFYb",Positivo,76
UnComicMas,Venezuela,"Reseña de #MarvelStudios Unidos: Creando #FalconYElSoldadoDeInvierno!
Capítulo especial ya disponible en… https://t.co/dhJbGqjSJr",Positivo,76
Electroalces,"Guadalajara, Jalisco",Que homenaje más bonito. Wakanda Forever 😍 #BlackPanther #WakandaForever #MarvelStudios #marvel https://t.co/bSpkHPpHPl,Positivo,73
normantorregros,"Distrito Federal, México","Nuevo spot de #loki 

https://t.co/Vmb8J4NGTV

No dejen de pasar a verlo completo 🌟

#marvel #marvelstudios… https://t.co/RHoqTh0L2o",Positivo,74
filmaddictyt,España - Gotham City,"🎬🔥NUEVO VÍDEO🔥🎬

En este video voy a opinar sobre los futuros estrenos de #MarvelStudios.

MI OPINIÓN de la FASE 4… https://t.co/QhMmUzMWUr",Positivo,82
RodeoFran,,#KevinFeige dice que #DoctorStrange iba a aparecer en #WandaVision pero fué quitada para mantener todo el foco en… https://t.co/H0e20b6Gxr,Positivo,51
FERABELJO,Madrid,La escena de la salvación de los pasajeros del Air force one en Iron-Man 3 es total... un subidón como pocos. #Ucm #MarvelStudios,Positivo,60
aless_anndra,"Los Ángeles, California","📸; 𝐂𝐚𝐩𝐭𝐚𝐢𝐧 𝐀𝐦𝐞𝐫𝐢𝐜𝐚: 𝐭𝐡𝐞 𝐟𝐢𝐫𝐬𝐭 𝐚𝐯𝐞𝐧𝐠𝐞𝐫.
© 𝗇𝖾𝗐 𝗉𝗈𝗌𝗍 𝖿𝗋𝗈𝗆 : 𝐚𝐥𝐞𝐬𝐬_𝐚𝐧𝐧𝐝𝐫𝐚
#CapAmericaRP
#MarvelStudios  

Hoy día 4 de… https://t.co/x2SXmxmPhd",Positivo,73
TomatazosCom,,Tal parece que #RyanReynolds quiere explorar nuevas características de #Deadpool junto a #MarvelStudios. El actor e… https://t.co/QIQBqgpMo5,Positivo,62
normantorregros,"Distrito Federal, México","Nuevo Spot de #loki 

#marvel #tomhiddleston #owenwilson #marvelstudios #disney #disneyplus #infinitystones… https://t.co/bzQsIhLtbw",Positivo,74
kingghost_sky,New Jersey,Acabo de ver lo que subió marvel: marvel studios celebrates the movies y puedo decir que tengo alto hype con lo que… https://t.co/sQT8ZGuLFT,Positivo,69
ADSLBlog,Islas Caimán,"Se acerca el momento de Loki 😎

#Loki #MARVEL #MarvelStudios #Disney #DisneyPlus https://t.co/xhtCksRMlk",Positivo,66
SMASHem_mx,,¡Por fin sabemos cuándo regresará Guardians of the Galaxy a la pantalla! 🤩🙌🏻 #MarvelStudios https://t.co/Db8GhIOTJ3,Positivo,72
TomatazosCom,,#ThorLoveAndThunder entra en su etapa final de grabaciones y #TaikaWaititi ya piensa que será la mejor película en… https://t.co/LUON5GOeo0,Positivo,79
Vyral_News_,,"🚨 ¡Alucinante! 🚨 Con emotivo video #MarvelStudios da un vistazo de lo que vendrá en la Fase 4 😱
https://t.co/w8mqEwT3qk",Positivo,66
MarioVarme,CDMX México,"La proyección más esperada proviene de #MarvelStudios donde tocado nuestras fibras nos invita nuevamente a ""vernos… https://t.co/WUh7i17EY4",Positivo,65
Vyral_News_,,"🚨 ¡Alucinante! 🚨 Con emotivo video #MarvelStudios da un vistazo de lo que vendrá en la Fase 4 😱
https://t.co/w8mqEwBs1K",Positivo,66
TiendaDelColecc,Bogota,"Nos vemos en los cines...!!!
#marveluniverse #marvelstudios #marvelmovies #marvelcomics #eternals #blackwidow… https://t.co/TlT8n47UBN",Positivo,68
fran16justo,Alcalá de Henares,"Lo he visto ya tres veces, y las tres se me ha saltado una lagrima de la emoción. Es que os juro que ver la escena… https://t.co/NXtncx6R3T",Positivo,72
elchimu123,en la Nave del Bad batch,"Hoy hace 8 Años se estrenaba 'Iron Man 3'

¿Te gusta esta película????
#IronMan 
#MarvelStudios https://t.co/MKvO2RJHKy",Positivo,71
gennaroespinoza,Panamá,@miguelestebantv Eso solo hace #MarvelStudios me reconforta que a mi hija le guste creo que va a pasar a la histori… https://t.co/MqHpjFG4nU,Positivo,47
CarlosPennaC,Global,"CarlosPennaC | CIO 🌐TResearch: ¿Cuáles son las sagas que más han recaudado en cines?
https://t.co/WXnmlNRBZv… https://t.co/rKeIIbk0O1",Positivo,67
Statista_ES,,"¿Cuáles son las sagas que más han recaudado en cines?
https://t.co/tr3y4zV3OJ

#StarWarsDay #StarWars… https://t.co/WHLvO87frH",Positivo,67
toystnt,"11315, Santa Margarita","MARVEL COMICS LITOGRAFIA UNCANNY X-MEN: CYCLOPS AND JEAN GREY 46 X 61 CM - ENMARCADO

Desde ahora podrás reservar e… https://t.co/WzfuzOSHTc",Positivo,67
Dave_DSG,The North of Southamerica,"#MarvelStudios celebra sus películas y ofrece un adelanto de los próximos largometrajes de la Fase 4 del #MCU!

Pró… https://t.co/MLLb5ILVLa",Positivo,69
Dave_DSG,The North of Southamerica,#MarvelStudios celebra sus películas y ofrece un adelanto de los próximos largometrajes de la Fase 4 del #MCU....in… https://t.co/fR7qMdZb2m,Positivo,69
LaCasaDeEL,Krypton / España,"Ni fecha de estreno de los 4 Fantásticos ni rastro de los mutantes en el tráiler de la Fase 4 del UCM, los fans mol… https://t.co/te7QMjHHEg",Positivo,69
gabrielarmoreno,"Mendoza, Argentina",@Marvel anunció todas las fechas de sus #estrenos #MarvelStudios https://t.co/lTeOfjTQ0x,Positivo,71
Silviovidela1,"San Juan, Argentina",Y Salma Hayek obvio 🔥 gracias #MarvelStudios,Positivo,89
ElengyCine,España,Esta tarde a las 16:30 nos vemos en #twitch y hablamos de calendarios. Así vamos haciendo planes 🤣 #MarvelStudios https://t.co/agMW2EgECK,Positivo,76
LaCasaDeEL,Krypton / España,WandaVision: El Doctor Strange creó los spots comerciales que se ven en la serie https://t.co/EjcH9W33ez #disney2… https://t.co/E1D3otPLwL,Positivo,67
liurneycinemax,"Santa Cruz de Tenerife, España",Nuevo Avance de #Loki de #MarvelStudios https://t.co/EyoVwZ1thf,Positivo,78
Francis77690515,,Nueva agenda de Marvel. ¿Cual no os perdereis? #MarvelStudios #Marvel https://t.co/MChSz17Nyd,Positivo,75
BylordGaming_YT,,"Loco pero que es esta bomba de #MarvelStudios 💣💥. Alguien mas se apunta para verlas💥
#Avengers #WakandaForever… https://t.co/c3vKnPzEzD",Positivo,62
Chottalexzandra,"Torreón, Coahuila de Zaragoza",Ya tenemos título confirmado!!   #BlackPanther #WakandaForever #MarvelStudios https://t.co/89V2ukIvB9,Positivo,66
LaCasaDeEL,Krypton / España,Loki: Marvel sorprende a los fans con un teaser tráiler de la serie de Disney+ con escenas e imágenes inéditas… https://t.co/AAV4SXDMlq,Positivo,67
LukeIndomable,"A Coruña, Galicia",Si os digo que son superhéroes es por algo. Hasta Marvel se ha dado cuenta ;) #Marvel #MarvelStudios https://t.co/aziOxiMr0J,Positivo,61
35milimetros_es,"Sevilla, Madrid, Barcelona,...","#Series 📺

Comienza el rodaje de #MoonKnight, la ficción de #MarvelStudios protagonizada por el actor #OscarIsaac. https://t.co/8kcgqUwu6S",Positivo,69
markitox82,Canarias,"ESTOY FLIPANDO!!! Ya tenéis nuevo video en el canal YT. 
Mi reacción al Trailer de la Fase 4 de Marvel STUDIOS.

✅… https://t.co/VQyjNifd85",Positivo,76
markitox82,Canarias,"ESTOY FLIPANDO!!! Ya tenéis nuevo video en el canal YT. 
Mi reacción al Trailer de la Fase 4 de Marvel STUDIOS.

✅… https://t.co/GgSZClQuq2",Positivo,76
MariArizaC,,#NuevoVideo  #MarvelStudios se viene con toda en el 2021 😍🔥 y revela nuevos detalles de la Fase 4 de su universo de… https://t.co/DdeCh1KYOd,Positivo,71
BiblioDeWakanda,,Dato curioso: Tras la presentación del nuevo calendario de Marvel Studios... ¿Te has fijado en el fondo de la peli… https://t.co/ZpnLAvU2Kz,Positivo,66
Drako1909,Drako1909 Multiverse,"El trailer es una preciosidad con Stan Lee narrándolo de fondo, Marvel hace unos trabajos extraordinarios incluso d… https://t.co/X5Z4A4sJ4s",Positivo,57
